"Intake Date","Location","Intake Condition","Animal Type","Sex","Age","Color","Breed","Intake Total","Animal Id"
"5/28/2012  12:00:00 AM","9411 BARNESDALLE AUSTIN TX","NORMAL","CAT","S","13.05 yr","TORBIE","DOMESTIC SH",2,"A163112"
"5/12/2012  12:00:00 AM","6000 BLOCK OF FAIRWAY ST AUSTIN TX","NORMAL","DOG","M","13.35 yr","WHITE BROWN","PIT BULL MIX",1,"A249428"
"5/15/2012  12:00:00 AM","GROVE AND E. OLTORF AUSTIN TX","NORMAL","DOG","M","13.36 yr","WHITE BROWN","PIT BULL MIX",1,"A249428"
"5/25/2012  12:00:00 AM","ST. ELMO AUSTIN TX","NORMAL","DOG","S","10.33 yr","TAN BLUE","LABRADOR RETR GREAT DANE",1,"A281299"
"5/6/2012  12:00:00 AM","6900 PANDA ROYALE TRAVIS TX","NORMAL","DOG","N","10.16 yr","BROWN WHITE","PIT BULL MIX",2,"A316688"
"5/7/2012  12:00:00 AM","2400 SANTA RITA AUSTIN TX","NORMAL","DOG","S","9.21 yr","BLACK WHITE","PIT BULL",1,"A319232"
"5/3/2012  12:00:00 AM","6900 BRODIE LN AUSTIN TX","NORMAL","DOG","N","9.67 yr","WHITE","WEST HIGHLAND",1,"A361424"
"5/15/2012  12:00:00 AM","I35/RIVERSIDE AUSTIN TX","NORMAL","DOG","S","7.90 yr","BLACK","LABRADOR RETR MIX",3,"A361582"
"5/6/2012  12:00:00 AM","91-1 ","A CRESADA DR AUSTIN TX","NORMAL","DOG","S","10.33 yr","GRAY BLACK SCHNAUZER MIN MIX",1,"A375472"
"5/25/2012  12:00:00 AM","2610 WILLOW AUSTIN TX","NORMAL","DOG","S","7.60 yr","WHITE","PIT BULL",1,"A385932"
"5/21/2012  12:00:00 AM","4434 FRONTIER AUSTIN TX","NORMAL","DOG","N","7.05 yr","BLACK WHITE","SCHNAUZER MIN MIX",1,"A394830"
"5/14/2012  12:00:00 AM","183 S AND OHLEN AUSTIN TX","NORMAL","DOG","S","11.72 yr","BLACK WHITE","PIT BULL",1,"A402964"
"5/11/2012  12:00:00 AM","NORTH PARK DR. BY SHOAL CREEK AUSTIN TX","AGED","DOG","M","15.54 yr","TAN","CHOW CHOW MIX",1,"A409982"
"5/11/2012  12:00:00 AM","2304 BARTON SKYWAY AUSTIN TX","NORMAL","DOG","N","7.69 yr","BR BRINDLE","PIT BULL MIX",1,"A445392"
"5/12/2012  12:00:00 AM","183 AND OHLEN RD AUSTIN TX","NORMAL","DOG","S","6.35 yr","BUFF YELLOW","LABRADOR RETR MIX",2,"A457858"
"5/21/2012  12:00:00 AM","3200 SILKGRASS AUSTIN TX","NORMAL","DOG","N","10.50 yr","BLACK BROWN","ALASK MALAMUTE GERM SHEPHERD",1,"A462880"
"5/7/2012  12:00:00 AM","MUELLER AND PHILOMENA AUSTIN TX","NORMAL","DOG","N","6.89 yr","RED","LABRADOR RETR MIX",2,"A475866"
"5/18/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","N","8.75 yr","BROWN WHITE","BEAGLE",1,"A483468"
"4/29/2012  12:00:00 AM","ESKEW DRIVE AUSTIN TX","NORMAL","DOG","N","5.52 yr","BROWN WHITE","CHIHUAHUA SH",1,"A495752"
"5/13/2012  12:00:00 AM","SPYGLASS AUSTIN TX","NORMAL","DOG","N","5.99 yr","CHOCOLATE","LABRADOR RETR",1,"A509625"
"5/12/2012  12:00:00 AM","2940 MOSS ST AUSTIN TX","NORMAL","CAT","N","4.07 yr","BLK TABBY WHITE","DOMESTIC LH MIX",1,"A510971"
"4/30/2012  12:00:00 AM","5201 ROSS RD TRAVIS TX","NORMAL","DOG","N","6.39 yr","RED","LABRADOR RETR MIX",2,"A545698"
"5/25/2012  12:00:00 AM","14050 SUMMIT DR AUSTIN TX","NORMAL","CAT","N","3.18 yr","ORG TABBY WHITE","DOMESTIC SH MIX",1,"A549755"
"5/4/2012  12:00:00 AM","S MOPAC/S CAP OF TX AUSTIN TX","NORMAL","DOG","S","5.66 yr","BLACK","CHIHUAHUA SH MIX",1,"A554768"
"5/9/2012  12:00:00 AM","KOENING AND GUADALUPE AUSTIN TX","NORMAL","DOG","S","3.37 yr","GRAY","SCHNAUZER MIN MIX",1,"A559546"
"5/9/2012  12:00:00 AM","KOENING AND GUADALUPE AUSTIN TX","NORMAL","DOG","N","3.04 yr","TRICOLOR","BEAGLE MIX",1,"A559547"
"5/21/2012  12:00:00 AM","HWY 71 & 973 DEL VALLE TX","NORMAL","DOG","S","3.50 yr","BROWN WHITE","PIT BULL AUST CATTLE DOG",1,"A561418"
"5/4/2012  12:00:00 AM","E CESAR CHAVEZ AND SPRINGDALE AUSTIN TX","NORMAL","DOG","N","3.87 yr","BLACK WHITE","PIT BULL MIX",1,"A561727"
"5/21/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","S","2.41 yr","BLACK WHITE","LABRADOR RETR BORDER COLLIE",1,"A566042"
"5/22/2012  12:00:00 AM","NUCKOLS CROSSING/TERI RD AUSTIN TX","NORMAL","DOG","M","2.67 yr","BR BRINDLE WHITE","PIT BULL MIX",1,"A572625"
"5/18/2012  12:00:00 AM","4106 N LAMAR BLVD AUSTIN TX","INJURED","CAT","S","2.11 yr","BLACK","DOMESTIC SH MIX",1,"A574391"
"5/18/2012  12:00:00 AM","4106 N LAMAR AUSTIN TX","INJURED","CAT","S","2.11 yr","BLACK","DOMESTIC SH MIX",1,"A574391"
"5/10/2012  12:00:00 AM","210 FRANKLIN AUSTIN TX","NORMAL","CAT","S","3.42 yr","BLACK WHITE","DOMESTIC SH MIX",1,"A576057"
"5/17/2012  12:00:00 AM","1808 FORD AUSTIN TX","NORMAL","DOG","S","2.08 yr","RED TICK RED","AUST CATTLE DOG MIX",1,"A586650"
"5/6/2012  12:00:00 AM","300 BLOCK OF CROCKETT NEAR S. CONGRESS AUSTIN TX","NORMAL","DOG","S","7.52 yr","BLACK TAN","AUST SHEPHERD MIX",1,"A587873"
"5/7/2012  12:00:00 AM","124 WEST ANDERSON LANE AUSTIN TX","NORMAL","DOG","N","8.46 yr","WHITE BLACK","RAT TERRIER",1,"A589275"
"5/16/2012  12:00:00 AM","PALACE PKWY AND LAMBETH AUSTIN TX","NORMAL","DOG","N","3.37 yr","WHITE TAN","JACK RUSS TERR",1,"A591208"
"5/9/2012  12:00:00 AM","4106 LAMAR AUSTIN TX","NORMAL","DOG","S","6.35 yr","BLACK","LABRADOR RETR MIX",1,"A591270"
"5/22/2012  12:00:00 AM","LEVANDER LOOP AUSTIN TX","NORMAL","DOG","S","2.02 yr","BR BRINDLE WHITE","PIT BULL MIX",1,"A591982"
"5/9/2012  12:00:00 AM","5201 ROSS RD TRAVIS TX","NORMAL","DOG","N","1.59 yr","BUFF WHITE","LABRADOR RETR MASTIFF",1,"A592132"
"5/1/2012  12:00:00 AM","8703 PRIMROSE AUSTIN TX","NORMAL","CAT","N","3.28 yr","ORG TABBY","DOMESTIC SH MIX",1,"A592260"
"4/30/2012  12:00:00 AM","5201 ROSS RD TRAVIS TX","NORMAL","DOG","S","4.27 yr","BROWN","SCHNAUZER STAND MIX",2,"A592467"
"5/8/2012  12:00:00 AM","8703 PRIMROSE LN AUSTIN TX","NORMAL","CAT","S","2.29 yr","ORG TABBY","DOMESTIC SH MIX",1,"A592468"
"5/3/2012  12:00:00 AM","HIDALGO STREET AUSTIN TX","NORMAL","DOG","S","2.25 yr","BLACK BROWN","ROTTWEILER",1,"A592917"
"5/8/2012  12:00:00 AM","7220 BLACK PANDA TRAIL DEL VALLE TX 78617 DEL VALLE TX","NORMAL","DOG","N","1.35 yr","BLACK","BEAGLE",1,"A594365"
"5/23/2012  12:00:00 AM","11311 PARSONS TRAVIS TX","NORMAL","DOG","F","1.95 yr","BROWN BLACK","GERM SHEPHERD",1,"A597012"
"5/12/2012  12:00:00 AM","801 E. WILLIAM CANNON AUSTIN TX","NORMAL","DOG","N","6.85 yr","YELLOW","LABRADOR RETR",1,"A605528"
"4/30/2012  12:00:00 AM","TYSON COVE AUSTIN TX","NORMAL","CAT","N","1.04 yr","CRM TABBY","DOMESTIC SH MIX",1,"A608170"
"5/17/2012  12:00:00 AM","S LAMAR BLVD AUSTIN TX","NORMAL","DOG","S","2.16 yr","FAWN WHITE","PIT BULL MIX",1,"A610151"
"5/16/2012  12:00:00 AM","DECKER AUSTIN TX","NORMAL","DOG","N","1.62 yr","BLUE WHITE","AM PIT BULL TER MIX",1,"A610922"
"5/18/2012  12:00:00 AM","45TH AND DUVAL AUSTIN TX","NORMAL","DOG","N","9.62 yr","WHITE BLUE","SHIH TZU MIX",1,"A611210"
"4/29/2012  12:00:00 AM","DURHAM DRIVE AUSTIN TX","NORMAL","DOG","S","4.55 yr","TAN BROWN","CAIRN TERRIER MIX",1,"A611718"
"5/16/2012  12:00:00 AM","PALOMINO TRAIL AUSTIN TX","NORMAL","DOG","S","9.20 mo","RED","LABRADOR RETR GERM SHEPHERD",1,"A611999"
"5/14/2012  12:00:00 AM","7117 WOOD HOLLOW AUSTIN TX","NORMAL","DOG","N","3.58 yr","TAN","CHIHUAHUA SH MIX",1,"A612013"
"5/25/2012  12:00:00 AM","1156 W CESAR CHAVEZ AUSTIN TX","NORMAL","DOG","S","1.57 yr","BROWN","PIT BULL MIX",1,"A613079"
"5/26/2012  12:00:00 AM","4600 NUCKOLS CROSSING AUSTIN TX","NORMAL","DOG","F","1.52 yr","BR BRINDLE WHITE","POINTER MIX",1,"A614193"
"5/17/2012  12:00:00 AM","HAVANA ST & GONTANA DR AUSTIN TX","NORMAL","DOG","S","1.15 yr","BLUE WHITE","PIT BULL MIX",1,"A614732"
"5/18/2012  12:00:00 AM","12034 RESEARCH BLVD AUSTIN TX","INJURED","CAT","S","2.47 yr","BLACK","DOMESTIC SH MIX",1,"A614855"
"5/20/2012  12:00:00 AM","ONION CREEK & VINE HILL AUSTIN TX","NORMAL","DOG","N","2.48 yr","BROWN WHITE","PIT BULL MIX",1,"A614857"
"4/29/2012  12:00:00 AM","N BLUFF AND WM CANNON AUSTIN TX","NORMAL","DOG","N","2.36 yr","BLACK","DACHSHUND MIX",1,"A616148"
"5/17/2012  12:00:00 AM","2005 GREENWOOD AVE AUSTIN TX","NORMAL","DOG","N","6.33 mo","TAN WHITE","CATAHOULA AMER BULLDOG",1,"A617887"
"5/5/2012  12:00:00 AM","WESTGATE RD AUSTIN TX","NORMAL","DOG","S","8.22 yr","YELLOW","LABRADOR RETR MIX",1,"A620306"
"5/25/2012  12:00:00 AM","2226 PALMERA CV AUSTIN TX","NORMAL","DOG","S","2.24 yr","WHITE BROWN","PIT BULL MIX",1,"A620946"
"5/25/2012  12:00:00 AM","2226 PALMERA CV AUSTIN TX","NORMAL","DOG","N","2.14 yr","WHITE BROWN","PIT BULL MIX",1,"A620947"
"5/4/2012  12:00:00 AM","130 AND FM 969 TRAVIS TX","NORMAL","DOG","N","6.18 yr","WHITE","GREAT PYRENEES",1,"A621246"
"5/11/2012  12:00:00 AM","16000 FM 969 TRAVIS TX","NORMAL","DOG","N","6.19 yr","WHITE","GREAT PYRENEES",1,"A621246"
"5/2/2012  12:00:00 AM","WILLIAM CANNON AND PLEASANT VALLEY AUSTIN TX","SICK","DOG","S","14.86 wks","BROWN WHITE","PIT BULL MIX",1,"A622284"
"5/13/2012  12:00:00 AM","METRIC AND RUTLAND AUSTIN TX","NORMAL","DOG","S","11.83 mo","BLACK WHITE","AMERICAN STAFF MIX",1,"A622289"
"4/30/2012  12:00:00 AM","GREENBELT ON W. 22 AUSTIN TX","NORMAL","DOG","N","1.12 yr","BROWN","BORDER TERRIER MIX",1,"A622467"
"5/21/2012  12:00:00 AM","ARBOR. 11500 JOLLYVILLE AUSTIN TX","NORMAL","DOG","F","1.64 yr","WHITE","PIT BULL MIX",1,"A623109"
"5/18/2012  12:00:00 AM","KXAN TV 908 W MLK AUSTIN TX","NORMAL","DOG","N","2.14 yr","TAN","NORFOLK TERRIER MIX",1,"A623133"
"5/22/2012  12:00:00 AM","5409 PNCIANA DR. AUSTIN TX","NORMAL","DOG","N","7.80 mo","BLUE TIGER WHITE","PIT BULL MIX",1,"A623219"
"5/13/2012  12:00:00 AM","FRONTIER AUSTIN TX","NORMAL","DOG","S","5.53 mo","WHITE TAN","CHIHUAHUA SH YORKSHIRE TERR",1,"A623506"
"5/2/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","N","2.08 yr","BLACK TAN","CHIHUAHUA SH MIN PINSCHER",1,"A623516"
"5/8/2012  12:00:00 AM","6905 DUBUQUE AUSTIN TX","NORMAL","DOG","N","7.10 yr","BLACK TAN","AUST CATTLE DOG GERM SHEPHERD",1,"A623594"
"5/26/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","S","12.15 yr","TRICOLOR","CHIHUAHUA SH MIX",1,"A623702"
"5/25/2012  12:00:00 AM","RIVERSIDE/ BEN WHITE AUSTIN TX","INJURED","DOG","F","8.60 mo","WHITE CREAM","POODLE TOY MIX",1,"A624140"
"5/25/2012  12:00:00 AM","RIVERSIDE/BENWHITE AUSTIN TX","INJURED","DOG","F","8.60 mo","WHITE CREAM","POODLE TOY MIX",1,"A624140"
"5/22/2012  12:00:00 AM","13006 CAMPOS AUSTIN TX","NORMAL","DOG","N","3.12 yr","CHOCOLATE TAN","DOBERMAN PINSCH LABRADOR RETR",1,"A624188"
"5/7/2012  12:00:00 AM","WM CANNON AND STASSNEY AUSTIN TX","NORMAL","CAT","S","15.57 wks","BLACK WHITE","DOMESTIC SH MIX",1,"A624852"
"4/29/2012  12:00:00 AM","HWY 71 AND 290 AUSTIN TX","NORMAL","DOG","N","2.01 yr","BRN MERLE","CHIHUAHUA SH MIX",1,"A625792"
"4/29/2012  12:00:00 AM","HWY 281 AUSTIN TX","NORMAL","CAT","F","4.43 wks","LYNX PT","SIAMESE MIX",2,"A625809"
"4/29/2012  12:00:00 AM","1113 HOLYBLUFF AUSTIN TX","NORMAL","DOG","M","1.50 yr","WHITE BROWN","PIT BULL MIX",1,"A625810"
"4/29/2012  12:00:00 AM","HWY 281 AUSTIN TX","NORMAL","CAT","M","4.43 wks","BLUE TABBY","DOMESTIC SH MIX",2,"A625811"
"5/21/2012  12:00:00 AM","JJ PICKLE ELEMENTARY SCHOOL AUSTIN TX","NORMAL","DOG","S","5.80 mo","BL BRINDLE WHITE","PIT BULL MIX",1,"A625812"
"4/29/2012  12:00:00 AM","OLDEN RD BETWEEN 183 AND BURNET AUSTIN TX","NORMAL","DOG","S","4.07 mo","YELLOW","LABRADOR RETR MIX",1,"A625813"
"4/29/2012  12:00:00 AM","THEMA AND S 1ST AUSTIN TX","NORMAL","DOG","S","2.00 yr","WHITE BLACK","PIT BULL MIX",1,"A625814"
"4/29/2012  12:00:00 AM","4434 FRONTIER TRAIL AUSTIN TX","NORMAL","DOG","M","11.01 yr","WHITE BROWN","POINTER MIX",1,"A625815"
"4/29/2012  12:00:00 AM","2006 BENDING TRL AUSTIN TX","NORMAL","DOG","N","8.01 yr","TAN WHITE","CHIHUAHUA SH MIX",1,"A625816"
"4/29/2012  12:00:00 AM","GREENBELT IN 78750 AREA AUSTIN TX","NORMAL","DOG","N","5.01 yr","TAN BLACK","YORKSHIRE TERR MIX",1,"A625819"
"4/29/2012  12:00:00 AM","LOYOLA AUSTIN TX","NORMAL","DOG","N","8.57 wks","BLACK WHITE","BORDER COLLIE LABRADOR RETR",1,"A625820"
"4/29/2012  12:00:00 AM","MANCHACA & OLD MANCHACA AUSTIN TX","NORMAL","DOG","F","2.00 yr","BLACK WHITE","PIT BULL MIX",1,"A625822"
"4/29/2012  12:00:00 AM","1111 IMMANUEL TRAVIS TX","NORMAL","DOG","S","2.00 yr","WHITE BR BRINDLE","PIT BULL MIX",1,"A625824"
"4/29/2012  12:00:00 AM","14601 ALPS DR TRAVIS TX","NORMAL","DOG","N","3.00 yr","RED WHITE","PIT BULL MIX",2,"A625827"
"5/7/2012  12:00:00 AM","2429 E HWY 71 AUSTIN TX","NORMAL","DOG","N","3.02 yr","RED WHITE","PIT BULL MIX",1,"A625827"
"4/29/2012  12:00:00 AM","WEDGEWOOD STREET NEAR BRAKER LANE AUSTIN TX","NORMAL","DOG","M","1.00 yr","SABLE WHITE","PIT BULL MIX",1,"A625829"
"4/29/2012  12:00:00 AM","14601 ALPS DR TRAVIS TX","NORMAL","DOG","F","1.00 yr","TAN","LABRADOR RETR MIX",2,"A625830"
"4/29/2012  12:00:00 AM","15544 SUTTON LEIGHS TRAVIS TX","NORMAL","DOG","S","5.01 yr","WHITE","POODLE MIN MIX",1,"A625831"
"4/29/2012  12:00:00 AM","OLD LOCKHART ROAD AUSTIN TX","NORMAL","DOG","S","3.00 yr","BLUE MERLE TAN","DACHSHUND WH MIX",1,"A625832"
"4/29/2012  12:00:00 AM","LEFT @ 1156 W. CESAR CHAVEZ AUSTIN TX","NORMAL","DOG","N","6.10 mo","BLUE WHITE","PIT BULL MIX",2,"A625833"
"4/29/2012  12:00:00 AM","183 & VARGAS AUSTIN TX","NORMAL","DOG","S","1.00 yr","BLACK WHITE","LABRADOR RETR BORDER COLLIE",1,"A625834"
"4/29/2012  12:00:00 AM","LEFT @ 1156 W. CESAR CHAVEZ AUSTIN TX","NORMAL","DOG","M","6.10 mo","BLACK WHITE","PIT BULL MIX",2,"A625835"
"4/29/2012  12:00:00 AM","BUSHY CREEK PARK  - PARMER LN AUSTIN TX","NORMAL","DOG","S","3.00 yr","WHITE GRAY","LHASA APSO MIX",1,"A625840"
"4/29/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","S","1.50 yr","BLACK WHITE","AUST KELPIE MIX",2,"A625841"
"4/29/2012  12:00:00 AM","5701 NORTHHAMPTON DR AUSTIN TX","NORMAL","DOG","N","1.00 yr","SABLE","AFFENPINSCHER MIX",1,"A625843"
"4/29/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","N","6.57 wks","YELLOW WHITE","LABRADOR RETR MIX",1,"A625844"
"4/29/2012  12:00:00 AM","AUSTIN TX","NORMAL","DOG","S","1.50 yr","RED","PIT BULL MIX",2,"A625846"
"4/29/2012  12:00:00 AM","CARRISON PARK 6001 MANCHACA AUSTIN TX","NURSING","CAT","M","3.14 wks","BLUE WHITE","DOMESTIC SH MIX",1,"A625847"
"4/29/2012  12:00:00 AM","RUNDBERG LN AND METRIC AUSTIN TX","NORMAL","CAT","S","3.00 yr","TORTIE","DOMESTIC SH MIX",1,"A625848"
"4/29/2012  12:00:00 AM","PLAINS TRAIL AND WINDY TRAIL AUSTIN TX","NURSING","CAT","M","4.43 wks","ORG TABBY","DOMESTIC SH MIX",3,"A625849"
"4/29/2012  12:00:00 AM","PLAINS TRAIL AND WINDY TRAIL AUSTIN TX","NURSING","CAT","M","4.43 wks","ORG TABBY","DOMESTIC SH MIX",3,"A625850"
"4/29/2012  12:00:00 AM","PLAINS TRAIL AND WINDY TRAIL AUSTIN TX","NURSING","CAT","M","4.43 wks","ORG TABBY","DOMESTIC SH MIX",3,"A625851"
"4/29/2012  12:00:00 AM","E MLK AUSTIN TX","NURSING","CAT","F","4.43 wks","CALICO","DOMESTIC SH MIX",2,"A625852"
"4/29/2012  12:00:00 AM","E MLK AUSTIN TX","NURSING","CAT","F","4.43 wks","ORG TABBY","DOMESTIC SH MIX",2,"A625853"
"4/29/2012  12:00:00 AM","MONTOPOLIS & AMISTAD DR AUSTIN TX","NORMAL","CAT","F","2.14 wks","WHITE","DOMESTIC SH MIX",1,"A625854"
"4/29/2012  12:00:00 AM","GENERAL WILLIAMSON DRIVE LAKEWAY TX","NORMAL","DOG","S","1.00 yr","WHITE","MALTESE MIX",1,"A625855"
"4/29/2012  12:00:00 AM","ST JOHNS AND I35 AUSTIN TX","NURSING","CAT","M","3.14 wks","BLACK","DOMESTIC SH MIX",4,"A625856"
"4/29/2012  12:00:00 AM","ST JOHNS AND I35 AUSTIN TX","NURSING","CAT","F","3.14 wks","BLACK","DOMESTIC SH MIX",4,"A625857"
"4/29/2012  12:00:00 AM","ST JOHNS AND I35 AUSTIN TX","NURSING","CAT","F","3.14 wks","BLACK WHITE","DOMESTIC SH MIX",4,"A625858"
"4/29/2012  12:00:00 AM","ST JOHNS AND I35 AUSTIN TX","NURSING","CAT","F","3.14 wks","BLACK WHITE","DOMESTIC SH MIX",4,"A625859"
"4/29/2012  12:00:00 AM","N. SHOAL CREEK - NORTHWEST PARK AUSTIN TX","NORMAL","DOG","S","9.57 wks","BLACK WHITE","LABRADOR RETR MIX",1,"A625860"
"4/29/2012  12:00:00 AM","1911 TILLERY ST AUSTIN TX","FERAL","CAT","S","1.95 yr","BLACK","DOMESTIC MH MIX",1,"A625863"
"4/29/2012  12:00:00 AM","STECK AND ROCKWOOD AUSTIN TX","NORMAL","DOG","S","2.00 yr","BLACK TAN","GERM SHEPHERD MIX",1,"A625864"
"4/29/2012  12:00:00 AM","I35 AND HWY 290 AUSTIN TX","FERAL","DOG","M","1.00 yr","TAN WHITE","CHIHUAHUA SH MIX",2,"A625866"
"4/29/2012  12:00:00 AM","I35 AND HWY 290 AUSTIN TX","FERAL","DOG","M","1.00 yr","TRICOLOR","CHIHUAHUA SH MIX",2,"A625867"
"4/29/2012  12:00:00 AM","GRACY FARMS LANE AND METRIC AUSTIN TX","NORMAL","CAT","N","6.01 yr","BLUE","DOMESTIC SH MIX",1,"A625868"
"4/29/2012  12:00:00 AM","2811 LAFONTERA BLVD AUSTIN TX","NORMAL","CAT","F","3.14 wks","TORBIE","DOMESTIC SH MIX",3,"A625869"
