"Intake Date","Found Location","Intake Condition","Animal ID","Animal Type","Sex","Spayed/Neutered?","Name","Days Old","Description"
" 5/30/12","AUSTIN, TX","NORMAL","A559546","DOG","FEMALE","YES","PEPPER","1,252.00","Gray Schnauzer Min"
" 5/30/12","4300 AVENUE F AUSTIN, TX","NORMAL","A559547","DOG","MALE","YES","BEAGLE","1,131.00","Tricolor Beagle"
" 5/30/12","5910 CAROLINE LN AUSTIN, TX","NORMAL","A601978","DOG","FEMALE","YES","ROXY",536,"White Basenji"
" 5/30/12","SOUTH MEADOWS RD AUSTIN, TX","NORMAL","A620183","DOG","MALE","YES","JEFFREY",655,"Brown Pit Bull"
" 5/30/12","1153 LOTT AUSTIN, TX","NORMAL","A623556","DOG","MALE","NO","AUSTIN",423,"White Amer Bulldog"
" 5/30/12","ROCK POINT DEL VALLE, TX","NORMAL","A624938","DOG","FEMALE","YES","PENNY","3,694.00","Brown Germ Shepherd"
" 5/30/12","1430 FRONTIER VALLEY AUSTIN, TX","NORMAL","A628568","DOG","MALE","NO","SPUDS",731,"White Pit Bull"
" 5/30/12","12034 RESEARCH BLVD AUSTIN, TX","NORMAL","A628569","KITTEN","MALE","NO",,36,"Org Tabby Domestic SH"
" 5/30/12","12034 RESEARCH BLVD AUSTIN, TX","NORMAL","A628570","KITTEN","MALE","NO",,36,"Black Domestic SH"
" 5/30/12","12034 RESEARCH BLVD AUSTIN, TX","NORMAL","A628571","KITTEN","FEMALE","NO",,36,"Org Tabby Domestic SH"
" 5/30/12","7201 LEVANDER LOOP AUSTIN, TX","NORMAL","A628572","DOG","FEMALE","NO","GRACIE","1,277.00","Black Border Collie"
" 5/30/12","1200 MONTOPOLIS AUSTIN, TX","INJURED","A628573","DOG","MALE","NO","BO JANGLES",129,"White Catahoula"
" 5/30/12","2717 PARKER LN AUSTIN, TX","NORMAL","A628576","DOG","MALE","YES","ODDIE",366,"Red Boxer"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628578","DOG","FEMALE","NO","SASHA",731,"White Great Pyrenees"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628579","PUPPY","MALE","NO",,22,"Black Great Pyrenees"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628580","PUPPY","FEMALE","NO",,22,"Black Great Pyrenees"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628581","PUPPY","MALE","NO",,22,"Tan Great Pyrenees"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628582","PUPPY","FEMALE","NO",,22,"Buff Great Pyrenees"
" 5/30/12","8119 S. 973 TRAVIS, TX","NORMAL","A628583","PUPPY","FEMALE","NO",,22,"White Great Pyrenees"
" 5/30/12","700 SHORT KEMP ST AUSTIN, TX","NORMAL","A628584","DOG","FEMALE","NO",,547,"Fawn Pit Bull"
" 5/30/12","2105 MILLHOUSE RD AUSTIN, TX","NORMAL","A628586","DOG","FEMALE","NO","MAGNOLIA","1,096.00","White Pit Bull"
" 5/30/12","1134 BERGER ST AUSTIN, TX","SICK","A628587","DOG","MALE","NO",,121,"White Chihuahua Sh"
" 5/30/12","RIVERSIDE DR/S PLEASANT VALLEY RD AUSTIN, TX","NORMAL","A628588","DOG","MALE","NO",,152,"Gray Schnauzer Min"
" 5/30/12","1811 WEBBERVILLE RD AUSTIN, TX","NORMAL","A628590","DOG","MALE","NO",,"1,461.00","White Pit Bull"
" 5/30/12","TILLERY ST AUSTIN, TX","NORMAL","A628591","PUPPY","MALE","NO","BENTLEY",90,"Brown Min Pinscher"
" 5/30/12","KIDNEYWOOD TRL AUSTIN, TX","NORMAL","A628592","PUPPY","MALE","NO",,69,"Black Black/Tan Hound"
" 5/30/12","WALNUT CREEK PARK RD AUSTIN, TX","NORMAL","A628598","DOG","MALE","NO","MARLIN","1,096.00","Black Labrador Retr"
" 5/30/12","20425  CAMERON RD TRAVIS, TX","NORMAL","A628603","DOG","MALE","NO","BOOMER","1,461.00","Black Germ Shepherd"
" 5/30/12","20425  CAMERON RD TRAVIS, TX","NORMAL","A628604","DOG","FEMALE","YES","BETTY",366,"Black Labrador Retr"
" 5/30/12","20425 CAMERON RD TRAVIS, TX","NORMAL","A628605","DOG","MALE","YES",,"1,827.00","Tan Anatol Shepherd"
" 5/30/12","8206 KIRKWALL CV. AUSTIN, TX","NORMAL","A628611","DOG","MALE","YES","SIR BARKLEY","1,461.00","Cream Welsh Corgi Car"
" 5/30/12","3603 SOUTHRIDGE DR AUSTIN, TX","NORMAL","A628615","KITTEN","MALE","NO",,3,"Brn Tabby Domestic SH"
" 5/30/12","3603 SOUTHRIDGE DR AUSTIN, TX","NORMAL","A628616","KITTEN","FEMALE","NO",,3,"Org Tabby Domestic SH"
" 5/30/12","720 AIRPORT BLVD AUSTIN, TX","NORMAL","A628623","KITTEN","MALE","NO",,61,"Org Tabby Domestic SH"
" 5/30/12","FM 812/HW 183 AUSTIN, TX","NURSING","A628634","KITTEN","UNKNOWN","UNKNOWN",,3,"Blue Tabby Domestic SH"
" 5/30/12","ROSBOROGH AND EUDORA LANE AUSTIN, TX","INJURED","A628636","PUPPY","MALE","NO","OTTO",90,"Buff Labrador Retr"
" 5/30/12","NORTH LOOP/AVE F AUSTIN, TX","NORMAL","A628638","DOG","MALE","YES","FLICK","1,096.00","White Jack Russ Terr"
" 5/30/12","LOYOLA LN AUSTIN, TX","SICK","A628639","KITTEN","FEMALE","NO","TULIP",45,"Brn Tabby Domestic SH"
" 5/30/12","AUSTIN, TX","NORMAL","A628640","KITTEN","FEMALE","NO",,45,"Brn Tabby Domestic SH"
" 5/30/12","8038 EXCHANGE AUSTIN, TX","NORMAL","A628641","KITTEN","MALE","NO","TOPO CHICO",45,"Org Tabby Domestic SH"
" 5/30/12","8038 EXCHANGE AUSTIN, TX","NORMAL","A628642","KITTEN","FEMALE","NO","CRUSH",45,"Org Tabby Domestic SH"
" 5/30/12","8038 EXCHANGE AUSTIN, TX","NORMAL","A628643","KITTEN","FEMALE","NO","PEPSI",45,"Black Domestic SH"
" 5/30/12","8038 EXCHANGE AUSTIN, TX","NORMAL","A628644","KITTEN","MALE","NO","FRESCA",45,"Brn Tabby Domestic SH"
" 5/30/12","OLTORF AND WILLOW CREEK AUSTIN, TX","NORMAL","A628649","DOG","MALE","NO","BUTTERS",731,"White Fox Terr Wire"
" 5/30/12","12705 BLAIRE RD AUSTIN, TX","NORMAL","A628650","DOG","FEMALE","NO","BRIE","1,827.00","Buff Labrador Retr"
" 5/30/12","ALLENDALE AUSTIN, TX","NORMAL","A628651","DOG","FEMALE","YES",,"3,653.00","White Pekingese"
" 5/30/12","IH-35/WM CANNON DR AUSTIN, TX","NORMAL","A628653","KITTEN","FEMALE","NO","LUCY",45,"Calico Domestic SH"
" 5/31/12","I35 AND SLAUGHTER CREEK OVERPASS AUSTIN, TX","AGED","A619103","DOG","MALE","YES","ZEUS","5,598.00","Buff Labrador Retr"
" 5/31/12","900 GUADALUPE ST AUSTIN, TX","NORMAL","A619106","DOG","FEMALE","YES","DAFFODIL",676,"Black Pit Bull"
" 5/31/12","4434 FRONTIER TRL AUSTIN, TX","INJURED","A628654","DOG","FEMALE","NO","ROXANNE",182,"Black Rottweiler"
" 5/31/12","12034 RESEARCH BLVD AUSTIN, TX","INJURED","A628655","KITTEN","FEMALE","NO",,37,"Tortie Domestic MH"
" 5/31/12","7201 LAVENDER LOOP AUSTIN, TX","NORMAL","A628657","DOG","MALE","NO",,121,"Tan Labrador Retr"
" 5/31/12","CHERICO AUSTIN, TX","SICK","A628664","KITTEN","UNKNOWN","UNKNOWN",,30,"Seal Pt Siamese"
" 5/31/12","CHERICO AUSTIN, TX","SICK","A628665","KITTEN","UNKNOWN","UNKNOWN",,30,"Brn Tabby Domestic SH"
" 5/31/12","1309 ROSEWOOD AUSTIN, TX","NORMAL","A628669","DOG","FEMALE","NO","COCO",362,"Chocolate Aust Kelpie"
" 5/31/12","3203 CHEVOIT AUSTIN, TX","NORMAL","A628670","DOG","MALE","NO",,182,"Black Labrador Retr"
" 5/31/12","HWY 290 AUSTIN, TX","NORMAL","A628673","PUPPY","FEMALE","NO","SHASTA",45,"Chocolate Border Terrier"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628674","CAT","FEMALE","NO","CYPRESS",731,"Brn Tabby Domestic SH"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628675","KITTEN","MALE","NO",,37,"Brn Tabby Domestic SH"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628676","KITTEN","MALE","NO",,37,"Brn Tabby Domestic SH"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628677","KITTEN","FEMALE","NO",,37,"Brn Tabby Domestic SH"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628678","KITTEN","MALE","NO",,37,"Brn Tabby Domestic SH"
" 5/31/12","11708 BUDLEY S DEGROOT DR AUSTIN, TX","NURSING","A628679","KITTEN","MALE","NO",,37,"Brn Tabby Domestic SH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628684","KITTEN","MALE","NO",,45,"Brn Tabby Domestic SH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628685","KITTEN","FEMALE","NO",,45,"Black Domestic SH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628686","KITTEN","MALE","NO",,45,"Blue Domestic MH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628688","KITTEN","MALE","NO",,45,"Blue Tabby Domestic MH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628689","KITTEN","FEMALE","NO",,45,"Blue Tabby Domestic SH"
" 5/31/12","3711 CALDWELL DEL VALLE, TX","NORMAL","A628690","KITTEN","MALE","NO",,45,"Black Domestic SH"
" 5/31/12","718 MINTURN LN AUSTIN, TX","NORMAL","A628691","DOG","FEMALE","NO",,136,"Tan Boxer"
" 5/31/12","6203 SADDLER AUSTIN, TX","SICK","A628692","KITTEN","FEMALE","NO",,30,"Tortie Domestic SH"
" 5/31/12","AUSTIN, TX","NORMAL","A628693","CAT","FEMALE","NO",,731,"Brn Tabby Domestic SH"
" 5/31/12","BLACKSTONE AT POST OFFICE 78723 AUSTIN, TX","INJURED","A628696","KITTEN","FEMALE","NO","WHOOPI",45,"Blue Cream Domestic SH"
" 5/31/12","2417 W BEN WHITE AUSTIN, TX","NORMAL","A628700","DOG","FEMALE","NO","SUMMER",366,"White Anatol Shepherd"
" 5/31/12","2300 VILLAGE WAY DR AUSTIN, TX","NORMAL","A628702","DOG","FEMALE","NO",,182,"White Siberian Husky"
" 5/31/12","12151 N IH35 AUSTIN, TX","NORMAL","A628704","DOG","MALE","NO",,731,"Tan Yorkshire Terr"
" 5/31/12","MLK AND POQUITO AUSTIN, TX","NORMAL","A628705","KITTEN","FEMALE","NO",,37,"Tortie Domestic MH"
" 5/31/12","MLK AND POQUITO AUSTIN, TX","NORMAL","A628706","KITTEN","FEMALE","NO",,37,"Tortie Domestic MH"
" 5/31/12","MLK AND POQUITO AUSTIN, TX","NORMAL","A628707","KITTEN","MALE","NO",,37,"Blue Tabby Domestic MH"
" 5/31/12","12151 N IH35 AUSTIN, TX","NORMAL","A628708","DOG","MALE","NO","HERCULES",731,"Buff Yorkshire Terr"
